"path","bytes","lines","is_binary"
".eslintrc.json","276","13","False"
".github/ISSUE_TEMPLATE/bug_report.yml","1319","50","False"
".github/ISSUE_TEMPLATE/config.yml","46","2","False"
".github/ISSUE_TEMPLATE/feature_request.yml","1106","41","False"
".github/ISSUE_TEMPLATE/status.yml","775","31","False"
".github/pull_request_template.md","173","9","False"
".github/workflows/ci.yml","423","22","False"
".github/workflows/discussion-bot.yml","9902","225","False"
".github/workflows/status-commit.yml","1790","52","False"
".gitignore","307","32","False"
"audit_inspection_scoped.csv","14580","252","False"
"AUDIT_REPORTS.md","38116","886","False"
"audit_tree.txt","8324","301","False"
"audit_tree_full.txt","8324","301","False"
"audit_tree_scoped.txt","8324","301","False"
"BLOG.MD","11369","337","False"
"CHANGELOG.md","12307","123","False"
"CODE_OF_CONDUCT.md","1275","23","False"
"CONTRIBUTING.md","1843","27","False"
"dist/async.cjs","44281","24","False"
"dist/async.js","43692","24","False"
"dist/computed.cjs","35530","21","False"
"dist/computed.js","34925","21","False"
"dist/core.cjs","51476","27","False"
"dist/core.js","50834","27","False"
"dist/devtools.cjs","14472","1","False"
"dist/devtools.js","13892","1","False"
"dist/helpers.cjs","34697","20","False"
"dist/helpers.js","34114","20","False"
"dist/index.cjs","51478","27","False"
"dist/index.js","50834","27","False"
"dist/persist.cjs","9529","1","False"
"dist/persist.js","9191","1","False"
"dist/react.cjs","45987","26","False"
"dist/react.js","45337","26","False"
"dist/runtime-admin.cjs","14126","1","False"
"dist/runtime-admin.js","13536","1","False"
"dist/runtime-tools.cjs","14870","3","False"
"dist/runtime-tools.js","14245","3","False"
"dist/selectors.cjs","14080","1","False"
"dist/selectors.js","13498","1","False"
"dist/server.cjs","28793","10","False"
"dist/server.js","28203","10","False"
"dist/sync.cjs","6110","1","False"
"dist/sync.js","6097","1","False"
"dist/testing.cjs","36762","20","False"
"dist/testing.js","36174","20","False"
"docs_2.0/ARCHITECTURE/ARCHITECTURE.md","2611","35","False"
"docs_2.0/BACK_MATTER/APPENDICES.md","4766","162","False"
"docs_2.0/BACK_MATTER/BACK_COVER.md","1408","28","False"
"docs_2.0/BACK_MATTER/Bibliography.md","4169","78","False"
"docs_2.0/BACK_MATTER/Colophon.md","2077","76","False"
"docs_2.0/BACK_MATTER/Contact_Information.md","1653","57","False"
"docs_2.0/BODY_MATTER/ASYNC_OF_STROID/CACHE_AND_REVALIDATION.md","4285","152","False"
"docs_2.0/BODY_MATTER/ASYNC_OF_STROID/FETCH_FLOW.md","4854","167","False"
"docs_2.0/BODY_MATTER/ASYNC_OF_STROID/INTRODUCTION.md","5575","172","False"
"docs_2.0/BODY_MATTER/ASYNC_OF_STROID/REAL_USE.md","4387","134","False"
"docs_2.0/BODY_MATTER/BACK_COVER.md","1408","28","False"
"docs_2.0/BODY_MATTER/BEGINNER_GUIDE/FIRST_STORE.md","2989","150","False"
"docs_2.0/BODY_MATTER/BEGINNER_GUIDE/FROM_BASIC_TO_REAL.md","4802","233","False"
"docs_2.0/BODY_MATTER/BEGINNER_GUIDE/INSTALL_AND_IMPORTS.md","2750","113","False"
"docs_2.0/BODY_MATTER/BEGINNER_GUIDE/REACT_USAGE.md","2779","117","False"
"docs_2.0/BODY_MATTER/BEGINNER_GUIDE/START_HERE.md","2455","110","False"
"docs_2.0/BODY_MATTER/BINARY_TO_BEING/ASYNC_LAYER.md","1176","50","False"
"docs_2.0/BODY_MATTER/BINARY_TO_BEING/DESIGN_PRINCIPLES_OF_STROID.md","1323","53","False"
"docs_2.0/BODY_MATTER/BINARY_TO_BEING/PERSISTENCE_LAYER.md","1228","51","False"
"docs_2.0/BODY_MATTER/BINARY_TO_BEING/PRODUCTION_PATTERNS.md","1328","59","False"
